SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBEß,MMR1
106914,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,BELLINGHAM ELEMENTARY,124,0,1,122
6069157,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,BERENECE CARLSON HOME HOSPITAL,23,7,0,15
6016182,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,BURBANK BOULEVARD ELEMENTARY,61,0,7,54
6016273,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,CAMELLIA AVENUE ELEMENTARY,141,0,0,137
123166,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,CELERITY PALMATI CHARTER,71,0,0,71
6016554,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,COLDWATER CANYON ELEMENTARY,154,0,0,146
6016562,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,COLFAX CHARTER ELEMENTARY,123,0,6,115
6016984,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,FAIR AVENUE ELEMENTARY,199,0,2,185
6018196,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,JOHN B. MONLUX ELEMENTARY,103,0,0,102
122192,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,JULIE KORENSTEIN ELEMENTARY,119,0,0,117
6017784,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,LANKERSHIM ELEMENTARY,83,0,2,81
109397,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,MAURICE SENDAK ELEMENTARY,88,0,0,83
128371,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,NEW HORIZONS CHARTER ACADEMY, ,,,
6018626,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,OXNARD STREET ELEMENTARY,84,0,0,84
6018907,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,RIO VISTA ELEMENTARY,98,0,4,88
6019087,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,SATICOY ELEMENTARY,122,2,2,118
6019368,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,STRATHERN STREET ELEMENTARY,156,0,2,152
6019517,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,TOLUCA LAKE ELEMENTARY,112,0,4,108
6019764,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,VICTORY BOULEVARD ELEMENTARY,112,0,2,110
6015796,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTHRIDGE,ANDASOL AVENUE ELEMENTARY,72,0,0,71
6015986,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTHRIDGE,BECKFORD CHARTER FOR ENRICHED STUDIES,89,0,2,83
6016257,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTHRIDGE,CALAHAN COMMUNITY CHARTER,123,0,0,123
6071435,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTHRIDGE,CASTLEBAY LANE CHARTER,160,0,3,156
6016703,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTHRIDGE,DARBY AVENUE CHARTER,93,0,1,92
6016729,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTHRIDGE,DEARBORN ELEMENTARY CHARTER ACADEMY,79,0,1,74
6017966,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTHRIDGE,LORNE STREET ELEMENTARY,90,0,0,90
117655,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTHRIDGE,MAGNOLIA SCIENCE ACADEMY 7,27,0,0,27
6018279,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTHRIDGE,NAPA STREET ELEMENTARY,83,0,0,79
6019533,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTHRIDGE,TOPEKA CHARTER SCHOOL FOR ADVANCED STUDIES,111,0,2,108
6018063,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PACIFIC PALISADES,MARQUEZ CHARTER,87,0,6,65
6018634,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PACIFIC PALISADES,PALISADES CHARTER ELEMENTARY,85,0,3,52
115048,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PACOIMA,FENTON PRIMARY CENTER,260,0,4,255
6017412,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PACOIMA,HADDON AVENUE ELEMENTARY,150,0,0,147
6017081,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PACOIMA,HILLERY T. BROADOUS ELEMENTARY,98,0,1,97
6018204,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PACOIMA,MONTAGUE CHARTER ACADEMY,200,0,2,191
6018642,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PACOIMA,PACOIMA CHARTER ELEMENTARY,222,0,2,216
6110951,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PACOIMA,SARA COUGHLIN ELEMENTARY,132,0,0,126
6019442,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PACOIMA,TELFAIR AVENUE ELEMENTARY,114,0,0,109
6016315,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PACOMIA,CANTERBURY AVENUE ELEMENTARY,158,0,0,154
122184,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PANORAMA CITY,ALTA CALIFORNIA ELEMENTARY,116,0,0,111
6016208,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PANORAMA CITY,BURTON STREET ELEMENTARY,85,0,0,79
6016455,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PANORAMA CITY,CHASE STREET ELEMENTARY,120,0,0,116
6017867,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PANORAMA CITY,LIGGETT STREET ELEMENTARY,149,0,0,149
126441,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PANORAMA CITY,MICHELLE OBAMA ELEMENTARY,158,0,0,148
109389,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PANORAMA CITY,PANORAMA CITY ELEMENTARY,119,0,0,119
6116842,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PANORAMA CITY,PRIMARY ACADEMY FOR SUCCESS,122,0,0,118
6018832,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PANORAMA CITY,RANCHITO AVENUE ELEMENTARY,114,2,0,109
6018709,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PLAYA DEL REY,PASEO DEL REY FUNDAMENTAL,37,0,4,30
126383,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PLAYA VISTA,PLAYA VISTA ELEMENTARY,112,0,1,98
126607,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PORTER RANCH,PORTER RANCH COMMUNITY,136,1,0,133
6016661,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,RANCHO PALOS VERDES,CRESTWOOD STREET ELEMENTARY,75,0,1,73
6016026,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,RESEDA,BERTRAND AVENUE ELEMENTARY,78,0,0,78
6016034,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,RESEDA,BLYTHE STREET ELEMENTARY,96,0,0,96
6016307,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,RESEDA,CANTARA STREET ELEMENTARY,77,0,0,76
6017206,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,RESEDA,GARDEN GROVE ELEMENTARY,91,0,0,91
6018121,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,RESEDA,MELVIN AVENUE ELEMENTARY,67,0,0,60
6018311,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,RESEDA,NEWCASTLE ELEMENTARY,72,0,1,71
6018857,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,RESEDA,RESEDA ELEMENTARY,65,0,0,63
6019194,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,RESEDA,SHIRLEY AVENUE ELEMENTARY,88,0,3,72
6019707,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,RESEDA,VANALDEN AVENUE ELEMENTARY,64,0,0,60
6017388,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN FERNANDO,GRIDLEY STREET ELEMENTARY,113,0,0,110
6018220,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN FERNANDO,MORNINGSIDE ELEMENTARY,105,0,0,102
6018444,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN FERNANDO,O'MELVENY ELEMENTARY,114,0,0,108
6019012,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN FERNANDO,SAN FERNANDO ELEMENTARY,118,0,0,114
6019715,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN FERNANDO,VAUGHN NEXT CENTURY LEARNING CENTER,275,0,1,266
122200,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN FERNANDO,VISTA DEL VALLE DUAL LANGUAGE ACADEMY,87,0,1,83
6015945,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN PEDRO,BANDINI STREET ELEMENTARY,54,0,1,49
6015952,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN PEDRO,BARTON HILL ELEMENTARY,119,0,0,89
6016224,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN PEDRO,CABRILLO AVENUE ELEMENTARY,95,0,2,78
6017032,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN PEDRO,FIFTEENTH STREET ELEMENTARY,121,0,1,106
6017834,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN PEDRO,LELAND STREET ELEMENTARY,129,0,0,127
6018675,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN PEDRO,PARK WESTERN PLACE ELEMENTARY,93,0,0,44
6018766,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN PEDRO,POINT FERMIN ELEMENTARY,53,0,0,20
6019129,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN PEDRO,SEVENTH STREET ELEMENTARY,109,0,4,103
6019301,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN PEDRO,SOUTH SHORES CSUDH VISUAL AND PERFORMING ARTS,23,0,0,22
6019426,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN PEDRO,TAPER AVENUE ELEMENTARY,115,2,5,107
6019947,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN PEDRO,WHITE POINT ELEMENTARY,66,0,1,48
6016323,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SANTA MONICA,CANYON ELEMENTARY,65,0,4,61
6016778,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SHERMAN OAKS,DIXIE CANYON COMMUNITY CHARTER,125,0,0,124
6018923,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SHERMAN OAKS,RIVERSIDE DRIVE CHARTER ELEMENTARY,126,1,10,111
6019186,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SHERMAN OAKS,SHERMAN OAKS ELEMENTARY CHARTER,169,0,5,156
122622,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,ASPIRE FIRESTONE ACADEMY,56,0,0,56
122614,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,ASPIRE GATEWAY ACADEMY,77,0,1,76
6016158,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,BRYSON AVENUE ELEMENTARY,144,0,0,112
6114722,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,INDEPENDENCE ELEMENTARY,120,0,0,106
6017859,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,LIBERTY BOULEVARD ELEMENTARY,90,0,0,75
109413,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,MADISON ELEMENTARY,134,1,0,128
6107403,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,MONTARA AVENUE ELEMENTARY,129,0,0,95
6019020,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,SAN GABRIEL AVENUE ELEMENTARY,126,0,0,111
6108641,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,SAN MIGUEL ELEMENTARY,185,0,0,161
106930,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,STANFORD PRIMARY CENTER,165,0,0,142
6019335,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,STATE STREET ELEMENTARY,116,0,1,114
6019574,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,TWEEDY ELEMENTARY,142,0,0,112
6019756,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,VICTORIA AVENUE ELEMENTARY,100,0,0,98
126409,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,WILLOW ELEMENTARY,115,0,0,114
6016356,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,STUDIO CITY,CARPENTER COMMUNITY CHARTER,187,0,16,167
123984,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SUN VALLEY,CELERITY CARDINAL CHARTER,66,0,0,66
6017024,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SUN VALLEY,FERNANGELES ELEMENTARY,159,0,0,157
6017313,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SUN VALLEY,GLENWOOD ELEMENTARY,85,0,0,84
6018956,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SUN VALLEY,ROSCOE ELEMENTARY,121,0,0,117
6019343,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SUN VALLEY,STONEHURST AVENUE ELEMENTARY,82,0,0,82
6019780,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SUN VALLEY,VINEDALE ELEMENTARY,36,0,0,35
6015846,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SUNLAND,APPERSON STREET ELEMENTARY,58,0,4,51
6019376,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SUNLAND,SUNLAND ELEMENTARY,61,0,1,58
6016828,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SYLMAR,DYER STREET ELEMENTARY,112,0,0,112
6016851,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SYLMAR,EL DORADO AVENUE ELEMENTARY,90,0,0,88
6017479,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SYLMAR,HARDING STREET ELEMENTARY,70,0,0,63
6017552,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SYLMAR,HERRICK AVENUE ELEMENTARY,104,0,1,103
6017644,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SYLMAR,HUBBARD STREET ELEMENTARY,94,0,1,87
6018592,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SYLMAR,OSCEOLA STREET ELEMENTARY,55,0,0,52
129619,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SYLMAR,PUC COMMUNITY CHARTER ELEMENTARY,65,0,0,49
6019400,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SYLMAR,SYLMAR ELEMENTARY,92,0,0,92
126599,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SYLMAR,SYLMAR LEADERSHIP ACADEMY,119,0,1,118
6018287,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,TARZANA,NESTLE AVENUE CHARTER,115,0,2,111
6019434,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,TARZANA,TARZANA ELEMENTARY,72,1,1,65
6019954,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,TARZANA,WILBUR CHARTER FOR ENRICHED ACADEMICS,136,1,5,128
6019525,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,TOPANGA,TOPANGA LEARN-CHARTER ELEMENTARY,74,0,9,52
6017420,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,TORRANCE,HALLDALE ELEMENTARY,101,0,1,97
6018147,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,TORRANCE,MEYLER STREET ELEMENTARY,142,0,0,111
6019665,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,TORRANCE,VAN DEENE AVENUE ELEMENTARY,55,0,0,34
6018238,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,TUJUNGA,MOUNTAIN VIEW ELEMENTARY,82,0,1,78
6018717,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,TUJUNGA,PINEWOOD AVENUE ELEMENTARY,44,0,0,40
6018725,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,TUJUNGA,PLAINVIEW ACADEMIC CHARTER ACADEMY,51,0,3,42
6015770,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,ANATOLA AVENUE ELEMENTARY,77,0,0,77
122218,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,ANDRES AND MARIA CARDENAS ELEMENTARY,111,0,0,103
121079,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,ARARAT CHARTER,51,0,1,50
6015960,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,BASSETT STREET ELEMENTARY,162,0,2,152
6016422,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,CHANDLER LEARNING ACADEMY,92,0,5,83
6016547,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,COHASSET STREET ELEMENTARY,132,0,0,132
6120679,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,COLUMBUS AVENUE,118,0,0,117
6016943,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,ERWIN ELEMENTARY,140,0,0,138
6017255,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,GAULT STREET ELEMENTARY,69,0,0,66
6017537,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,HAZELTINE AVENUE ELEMENTARY,102,0,1,98
6017727,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,KESTER AVENUE ELEMENTARY,162,0,4,158
6017735,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,KITTRIDGE STREET ELEMENTARY,157,0,2,155
128025,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,LASHON ACADEMY,54,0,3,51
6017842,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,LEMAY STREET ELEMENTARY,71,0,0,70
6019319,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,STAGG STREET ELEMENTARY,104,0,0,104
6019418,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,SYLVAN PARK ELEMENTARY,167,0,0,167
6019640,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,VALERIO STREET ELEMENTARY,200,0,0,197
1931716,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,VALLEY ALTERNATIVE MAGNET,22,0,0,20
6019699,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VAN NUYS,VAN NUYS ELEMENTARY,153,0,0,152
6016125,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VENICE,BROADWAY ELEMENTARY,124,0,2,109
6016539,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VENICE,COEUR D'ALENE AVENUE ELEMENTARY,140,0,10,109
6019913,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VENICE,WESTMINSTER AVENUE ELEMENTARY,44,0,0,37
120097,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WALNUT PARK,ACADEMIA MODERNA,72,0,0,72
6016331,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WEST HILLS,CAPISTRANO AVENUE ELEMENTARY,81,0,0,75
117036,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WEST HILLS,ENADIA TECHNOLOGY ENRICHED CHARTER,42,0,0,40
6017438,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WEST HILLS,HAMLIN CHARTER ACADEMY,80,0,1,78
6017529,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WEST HILLS,HAYNES CHARTER FOR ENRICHED STUDIES,72,0,2,65
6017693,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WEST HILLS,JUSTICE STREET ACADEMY CHARTER,70,0,0,68
6018295,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WEST HILLS,NEVADA AVENUE ELEMENTARY,84,0,0,82
6018774,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WEST HILLS,POMELO COMMUNITY CHARTER,114,0,6,97
6019855,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WEST HILLS,WELBY WAY ELEMENTARY CHARTER,66,0,2,63
6019871,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WEST HOLLYWOOD,WEST HOLLYWOOD ELEMENTARY,83,0,3,48
6016109,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WILMINGTON,BROAD AVENUE ELEMENTARY,130,0,0,84
6017180,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WILMINGTON,FRIES AVENUE ELEMENTARY,88,1,0,85
111955,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WILMINGTON,GEORGE DE LA TORRE JR. ELEMENTARY,141,0,1,20
6017404,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WILMINGTON,GULF AVENUE ELEMENTARY,184,0,0,157
126581,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WILMINGTON,HARRY BRIDGES SPAN,144,0,0,119
6017511,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WILMINGTON,HAWAIIAN AVENUE ELEMENTARY,136,0,1,113
6019962,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WILMINGTON,WILMINGTON PARK ELEMENTARY,175,0,0,144
122226,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WINNETKA,STANLEY MOSK ELEMENTARY,122,0,0,121
6019384,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WINNETKA,SUNNY BRAE AVENUE ELEMENTARY,122,0,0,122
6016240,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WOODLAND HILLS,CALABASH CHARTER ACADEMY,74,1,1,67
6016265,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WOODLAND HILLS,CALVERT CHARTER FOR ENRICHED STUDIES,62,1,4,54
6119531,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WOODLAND HILLS,CHIME INSTITUTE'S SCHWARZENEGGER COMMUNITY,86,0,11,75
106351,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WOODLAND HILLS,IVY ACADEMIA,88,0,1,57
6017891,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WOODLAND HILLS,LOCKHURST DRIVE CHARTER ELEMENTARY,49,0,0,46
6019111,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WOODLAND HILLS,SERRANIA AVENUE CHARTER FOR ENRICHED STUDIES,118,0,6,112
6020036,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WOODLAND HILLS,WOODLAKE ELEMENTARY COMMUNITY CHARTER,75,0,3,68
6020044,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WOODLAND HILLS,WOODLAND HILLS ELEMENTARY CHARTER FOR ENRICHED STUDIES,177,0,1,174
6020101,LOS ANGELES,PUBLIC,LOS NIETOS,SANTA FE SPRINGS,RANCHO SANTA GERTRUDES ELEMENTARY,57,0,1,55
6020077,LOS ANGELES,PUBLIC,LOS NIETOS,WHITTIER,ADA S. NELSON ELEMENTARY,43,0,0,37
6020085,LOS ANGELES,PUBLIC,LOS NIETOS,WHITTIER,AEOLIAN ELEMENTARY,89,0,0,89
6020127,LOS ANGELES,PUBLIC,LOWELL JOINT,LA HABRA,EL PORTAL ELEMENTARY,98,0,1,97
6020176,LOS ANGELES,PUBLIC,LOWELL JOINT,LA HABRA,MACY ELEMENTARY,68,0,4,64
6020200,LOS ANGELES,PUBLIC,LOWELL JOINT,LA HABRA,OLITA ELEMENTARY,52,0,1,50
6020150,LOS ANGELES,PUBLIC,LOWELL JOINT,WHITTIER,JORDAN ELEMENTARY,57,0,2,55
6020192,LOS ANGELES,PUBLIC,LOWELL JOINT,WHITTIER,MEADOW GREEN ELEMENTARY,79,0,3,76
6020218,LOS ANGELES,PUBLIC,LOWELL JOINT,WHITTIER,RANCHO-STARBUCK INTERMEDIATE, ,,,
107912,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,HELEN KELLER ELEMENTARY,87,0,0,80
6020234,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,JANIE P. ABBOTT ELEMENTARY,95,0,0,92
6020242,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,LINCOLN ELEMENTARY,76,0,0,74
6020259,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,LINDBERGH ELEMENTARY,94,0,0,70
6020267,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,LUGO ELEMENTARY,62,0,0,61
6020275,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,MARK TWAIN ELEMENTARY,114,0,0,113
6020283,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,ROOSEVELT ELEMENTARY,82,0,0,82
6116685,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,ROSA PARKS ELEMENTARY,86,0,1,83
108381,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,THURGOOD MARSHALL ELEMENTARY,120,1,0,111
6020291,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,WASHINGTON ELEMENTARY,90,0,0,90
6020309,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,WILL ROGERS ELEMENTARY,103,0,0,103
6020317,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,WILSON ELEMENTARY,102,0,0,91
6020325,LOS ANGELES,PUBLIC,MANHATTAN BEACH UNIFIED,MANHATTAN BEACH,AURELIA PENNEKAMP ELEMENTARY,107,2,3,100
6020358,LOS ANGELES,PUBLIC,MANHATTAN BEACH UNIFIED,MANHATTAN BEACH,GRAND VIEW ELEMENTARY,115,0,4,105
6020390,LOS ANGELES,PUBLIC,MANHATTAN BEACH UNIFIED,MANHATTAN BEACH,MEADOWS AVENUE ELEMENTARY,60,0,7,53
6020408,LOS ANGELES,PUBLIC,MANHATTAN BEACH UNIFIED,MANHATTAN BEACH,OPAL ROBINSON ELEMENTARY,48,1,1,45
