SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBEß,MMR1
114074,MERCED,PUBLIC,WEAVER UNION,MERCED,FARMDALE ELEMENTARY,165,0,1,150
6111991,MERCED,PUBLIC,WEAVER UNION,MERCED,PIONEER ELEMENTARY,222,0,0,219
6025829,MERCED,PUBLIC,WINTON,WINTON,FRANK SPARKES ELEMENTARY,58,0,0,55
6025837,MERCED,PUBLIC,WINTON,WINTON,SYBIL N. CROOKHAM ELEMENTARY,89,0,1,85
111294,MERCED,PUBLIC,WINTON,WINTON,WINFIELD ELEMENTARY,88,0,0,85
6907364,MERCED,PRIVATE,,GUSTINE,OUR LADY OF MIRACLES,18,0,0,18
6995831,MERCED,PRIVATE,,LIVINGSTON,LONGVIEW MENNONITE SCHOOL, ,,,
6974604,MERCED,PRIVATE,,LOS BANOS,OUR LADY OF FATIMA,10,0,0,10
6136618,MERCED,PRIVATE,,MERCED,GOSPEL DEFENDERS CHRISTIAN, ,,,
7103393,MERCED,PRIVATE,,MERCED,GRACE BISHOP SCHOOL, ,,,
6902704,MERCED,PRIVATE,,MERCED,MERCED CHRISTIAN,13,0,1,12
6974612,MERCED,PRIVATE,,MERCED,OUR LADY OF MERCY,32,0,1,31
6143515,MERCED,PRIVATE,,MERCED,PROVIDENCE CHRISTIAN SCHOOL,11,0,1,8
7078819,MERCED,PRIVATE,,MERCED,ST. PAUL LUTHERAN SCHOOL,10,0,0,10
6900716,MERCED,PRIVATE,,WINTON,GRACE MENNONITE SCHOOL, ,,,
6025845,MODOC,PUBLIC,MODOC JOINT UNIFIED,ALTURAS,ALTURAS ELEMENTARY,55,0,3,52
6025902,MODOC,PUBLIC,SURPRISE VALLEY JOINT UNIFIED,CEDARVILLE,SURPRISE VALLEY ELEMENTARY,11,0,0,10
6025894,MODOC,PUBLIC,TULELAKE BASIN JOINT UNIFIED,TULELAKE,TULELAKE BASIN ELEMENTARY,38,0,0,37
6025910,MONO,PUBLIC,EASTERN SIERRA UNIFIED,COLEVILLE,ANTELOPE ELEMENTARY,22,0,1,21
6025969,MONO,PUBLIC,MAMMOTH UNIFIED,MAMMOTH LAKES,MAMMOTH ELEMENTARY,114,0,14,100
6025977,MONTEREY,PUBLIC,ALISAL UNION,SALINAS,ALISAL COMMUNITY,126,0,0,89
6025985,MONTEREY,PUBLIC,ALISAL UNION,SALINAS,BARDIN ELEMENTARY,81,0,0,66
6113542,MONTEREY,PUBLIC,ALISAL UNION,SALINAS,CESAR E. CHAVEZ ELEMENTARY,115,0,0,99
6115232,MONTEREY,PUBLIC,ALISAL UNION,SALINAS,CREEKSIDE ELEMENTARY,140,0,2,109
6120273,MONTEREY,PUBLIC,ALISAL UNION,SALINAS,"DR. MARTIN LUTHER KING, JR. ACADEMY",93,0,0,81
6101802,MONTEREY,PUBLIC,ALISAL UNION,SALINAS,FRANK PAUL ELEMENTARY,92,0,0,78
6025993,MONTEREY,PUBLIC,ALISAL UNION,SALINAS,FREMONT ELEMENTARY,139,0,0,103
6026009,MONTEREY,PUBLIC,ALISAL UNION,SALINAS,JESSE G. SANCHEZ ELEMENTARY,158,0,0,139
6109466,MONTEREY,PUBLIC,ALISAL UNION,SALINAS,JOHN E. STEINBECK ELEMENTARY,73,0,0,69
6119663,MONTEREY,PUBLIC,ALISAL UNION,SALINAS,OASIS CHARTER PUBLIC,65,0,0,65
6117691,MONTEREY,PUBLIC,ALISAL UNION,SALINAS,OSCAR F. LOYA ELEMENTARY,121,0,0,103
127456,MONTEREY,PUBLIC,ALISAL UNION,SALINAS,TIBURCIO VASQUEZ ELEMENTARY,122,0,1,120
6106959,MONTEREY,PUBLIC,ALISAL UNION,SALINAS,VIRGINIA ROCCA BARTON ELEMENTARY,150,0,0,107
118349,MONTEREY,PUBLIC,BIG SUR UNIFIED,BIG SUR,BIG SUR CHARTER,11,0,3,6
